appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
886670,Proficient Paddles,2018-07-22,1,Cyclone Studios,Cyclone Studios,windows,0,Single-player;Multi-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action;Casual;Indie;Sports,Action;Indie;Casual,13,3,0,0,0,0-20000,0.79
1014710,sCATter,2019-02-07,1,"SEEDGAMES Co., Ltd.","SEEDGAMES Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Casual;Indie;Early Access,Early Access;Indie;Casual,5,11,5,0,0,0-20000,15.49
365330,Jump/Boxer,2015-04-24,1,Blaze Epic,Blaze Epic,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Indie,Action;Indie;Platformer,10,37,26,0,0,0-20000,0.79
1012460,Through Abandoned: The Refuge,2019-03-25,1,Igor Krutov,Kiss Publishing Ltd,windows,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Point & Click,7,11,1,0,0,0-20000,2.09
790350,The Inner Friend,2018-09-06,1,PLAYMIND,PLAYMIND,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Casual;Indie,Adventure;Indie;Casual,21,39,5,0,0,0-20000,11.39
722210,Smart Cube,2018-07-31,1,Georgian Opariuc,Georgian Opariuc ,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie;Strategy,Casual;Adventure;Indie,58,12,9,0,0,0-20000,0.79
1025710,Real Al's Humanity Academy,2019-04-01,1,Brett Moody;Keanan Pucci;Matthew Ricci,Affinity Studios LLC,windows,0,Single-player,Action;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,11,1,0,0,0-20000,0.0
517710,Redout: Enhanced Edition,2016-09-02,1,34BigThings srl,34BigThings srl,windows,0,Single-player;Multi-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Racing,Racing;Futuristic;Fast-Paced,34,2546,369,216,397,200000-500000,29.99
669520,Mino Saga,2017-12-21,1,Tomislav Kadežabek,Tomislav Kadežabek,windows;mac,0,Single-player;Steam Achievements,Action;Casual;Indie,Action;Indie;Casual,38,1,2,0,0,0-20000,4.79
979010,Ultimate Desktop Character Engine,2018-11-27,1,elfinik,elfinikGames,windows,0,Steam Workshop;Steam Cloud,Animation & Modeling;Design & Illustration;Utilities;Early Access,Early Access;Utilities;Animation & Modeling,0,35,20,0,0,0-20000,2.09
252290,Elegy for a Dead World,2014-12-10,1,"Dejobaan Games, LLC;Popcannibal","Dejobaan Games, LLC",windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats,Adventure;Indie,Indie;Adventure;Story Rich,3,173,89,3,3,50000-100000,10.99
411870,Discovering Colors - Animals,2016-04-13,1,Frogames,Frogames,windows;mac;linux,0,Single-player;Steam Cloud,Casual,Casual;Family Friendly;Education,0,18,0,0,0,0-20000,2.79
840610,Fortune-499,2018-05-10,1,AP Thomson,AP Thomson,windows;mac,0,Single-player,Indie;RPG;Strategy,Pixel Graphics;Puzzle;Story Rich,0,70,10,0,0,0-20000,3.99
586700,Otherworld: Omens of Summer Collector's Edition,2017-02-06,1,Boomzap Entertainment,Big Fish Games,windows,0,Single-player,Nudity;Adventure;Casual,Adventure;Casual;Nudity,0,2,1,0,0,0-20000,6.99
710240,Interworlds,2017-10-23,1,Smartmelon,Smartmelon,windows,0,Single-player;Steam Cloud,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,0,4,3,0,0,0-20000,7.19
